,text_bersih
467,macchiatong Makasiih kak wkwkwk
468,tffnia31 wkkwk thank youuu
469,Ngerii suhu
470,WAAAH KEREN BGTT KAKAKKK TIPS TRICKNYA DONGGG BIAR KETERIMAAAA
471,Produktif bgt kakaaa 
472,zzefanyadw tips nya temenan sama kamu biar termotivasi 
473,maghfirahhan Alhamdulillah samaan kan fir 
474,vettapril adoh padahal kak veta yang lebih memotivasi
475,Bismillah nyusul
476,carissarhy bismillah bisa 
477,Josss vet 
478,budists ni yg komen juga mantep bat niii wkwk
479,terosss terosssss
480,maskidi nabrak dong terus terus 
481,Pingin ikutan magangmerdeka batch 3 ini tapi
482,prasetyoadh24 mending magang aja mas duitnya gede
483,yumnakanshaaa aku udah ikut kampus mengajar mas pingin lanjut buat ikutan studi independen Tapi gak di bolehin sama prodi
484,mangat jod
485,fajarmuhammad713 siaapnuhuun
486,Kok familiar liat foto nya wwwwww
487,mfaridmahardika wkwk tau aja
488,oiii gak boleh foto di situ jod 
489,semangat jody kuhhhhhhh 
490,Itu fotonya di perusahaan apa jod
491,muhammadrasyidulaulia wah iya Ultpi ini yang fotoin pak komandan 
492,harianingrumpuji siap ji
493,athallahh19 wah tempatnya rahasia Al
494,jodyirwn wkwk siapa tu muhammadirham99 iko jod
495,muhammadrasyidulaulia wkwk bukaanmana talok dia tu pembimbing yg ambil foto
496,hahha yo lah tu jof
497,Uang sakunya brpa bang
498,Anjay keren rek
499,rizkyarima11 sek lebih keren arek ITS
500,fikrirusli10 masih nope ane idih magang di microsoft mas
501,Alhamdulillah Kerennn Semangat ya
502,arihandayani267 siap te
503,Mantap cici
504,pahmiid pahmiyy
505,semangattt 
506,kristissanti ikut gak mbakk
507,mangatsee kakak
508,shahnazsetia aduh makasih kaka Oleholeh keliling jabar kok gak sampek rumah saya ya kak
509,wuhuuuw mangats aqsaaa
510,devianrrr depi kangen
511,KOK AKU RA DI TAG SIH 
512,KOK AKU RA DI TAG SIH 
513,Buguluuu
514,vosmeyoves nesu nesu terus semaput meneh kwe ngko
515,fkrstuv apaan sih kok saya malu di komen anda pak
516,Yowwww 
517,
518,Mantaap kereen
519,msyamsurizal Alhamdulillah 
520,Hai jugagmna kbar 
521,Like balik ya kak
522,ditunggu giveawaynya bang
523,kereennn
524,ampun bang jago
525,Gipewei bang
526,kikiarifai stay tune bang
527,yusdisti paling jago dah mba nya 
528,anputar boong
529,elkanajee1 stay tune bang
530, semangat
531,Mantappps
532,
533,Kereenn bgt alig
534,aku jg ka 
535,must keep going smp muntah2 luv meow
536,Ehh Luluuu
537,uhuyy
538,Widihh
539,SEMINGIT FLUFFTONS MEOW MEOW
540,faragnuraimsn hihihi 3
541,sylveronicaa WKWKWKW jgn buka kartu gt dong met
542,syfarrr hahaha ayo syff
543,aryanissa26 maaci aryanimasen
544,riantaathallah wadukhh
545,annisasony hurr
546,Heh nat
547,michaelchristians haa opo
548,natanaels7 wocooo grupp lehhh
549,Thankyouu Havid sukses selalu yaa
550,Kuereenn ee  Bagi ilmu 
551,kerenkezia12 sama sama mba sukses selalu juga buat mba keren 
552,anisizza ayok lah gass
553,Keren  jngn lupa bagi ilmu ke adik kelas nya
554,Mantap mas sukses selalu mas havidza
555,Kyaa keren mas havid 
556,Keren mas hafidtetap semangat ya
557,fahmad26 siap pak
558,aritovarizki siap ri suwun
559,riskikukuh kyaa dikomen mastah Suwun ris 
560,imadsukmawati7 siap bulik 
561,go off king
562,Mantap kii
563,Congrats 
564,
565,Lanjut ke komen maafken caption yang sangat panjang lebar kali tinggi ini
566,Dan terakhir  terima kasih kepada dospem saya bunda hesty kampus ULM serta prodi kepada keluarga dan teman teman terdekat saya atas asupan support semangat pengertiannya dan bantuan selama saya mengikuti program SI ini
567,Mutiiiiiiiiiii akhirnya yaaa 
568,nurinjaniiiii akhirnya  terlewatin alhamdulillah
569,
570,vnstania 
571,
572,Gilak gilak gakuat anak kentang sibuk banget
573,syaarahnf 
574,hanahan13 aduh aduh gimana ya wkwk
575,Youre most welcome dik  tetap semangat dan sukses selalu ya 
576,Heyy
577,lov u bestie
578,Samasama makasih juga banyak2
579,
580,
581,bangganya aku
582,Selamat untukmu semoga lancar dan slk di mudahkan oleh Allah dalam setiap usahamu Aamiin 
583,Ngueriii
584,
585,priatamaandi ngeriaaan awm dong hey 
586,ongkysuhermanheng Alooo reminder kelas 
587,Uuuuuuuuwww
588,nindaea mbaaak niin 
589,Wohooo
590,woohoo akhirnya selesai yaa 
591,nurulfaazh lega banget ya rul 
592,shellasagita ayo shela ditunggu unggahannya 
593,
594,nissamrcll nisaaa 
595,Semoga sukses selalu Dwi 
596,Keren bgt
597,mahaningwijaya Aamiin Begitupun Ibu dan keluarga
598,Mangsteup wii
599,
600,mantap msibnya di micosoft
601,Ekspresinya menandakan 
602,Hallo yusuf salam kenal ya
603,Laler menclok neng rel
604,rizalullahmuh km sp
605,waannn duit bulanan ga caircair
606,ibukkos lalel menclok nang lel
607,Omoomo
608,siap bang merdeka
609,Itu tangannya ngasih kode apa ya
610,jafaralf bang tips biar gak wuning
611,hanamhasan cuan cuan cuan 
612,Pangling
613,danangsatriawan tips memutihkan gigi yang kuning ada di channel ngaparin geming yagesya
614,fonilolitaagustin ottokee ottokee
615,ngerii suhu 
616,vikasyahptr iya aku ganteng kok makasii
617,aditcahyono info pemecahan batu bara
618,yusuftaufikhur ADRO BUMI ITMG
619,Ndi mullet e
620,Senyum pep soden
621,Hallo
622,frlianglng salken sv
623,ahraffaa kodomo ae cek dadi teman baikmu
624,nstoff poto pas jaman nom noman
625,iku drijine lope lope nk sopo mas cop
626,raisakbarr itu bukan lope kawan itu kode buat pencairan fulus yg macett
627,P
628,dah luan aja ni bg wkwk
629,Sopo kuiii
630,roniwidodo334 pemeran figuran
631,hijrahtzamzah daripada kelupaan bang wkwk
632,rezazulfani salamnya orang atheis
633,Kalau makan pisang goreng tapi panas apa bunyinya gehang goheng atau  gehaaamg ghoheng bener gitu gak sih konsepnya 
634,baguspulunggono lebih ke pihang goheng sih mas kalo di daerah saya
635,yusuftaufikhur 
636,Im so proud of u 
637,mandaroo12 
638,Sisssss 
639,awww 
640,AAAAAAAAA KEREN BANGET BESTIE
641,dawasssss dadah dadah 
642,xotiasxo 
643,cangtiip 
644,aprilianrlaz hihihihihi
645,deellla jadi maloe
646,lemniscatic wkwkwk u ga mau ketemu i kak v
647,Proudd keren yahayy
648,aramdhani24 tengkyuuu nisaa
649,Mantap 
650,Mantap pak Eko 
651,asonna24 Nuhun aa sona 
652,situeko Harus tetap mengeluh dan jangan pernah semangat pak Eko 
653,Wkwkwk tai lah captionnya
654,asonna24 everyday everynight everymoment etamah sih 
655,ghiazh itu hasil ga tidur 2 hari lohh 
656,MAKASIH YAA EKO
657,kerenkezia12 siapp kak kembali kasih kak Keren
658,Karena caption anda sangat random saya beri nilai bintang 1
659,dyngnisa tapi itu bintangnya dua loh apakah bonus
660,Oke saya kasih minus situeko
661,dyngnisa apakah anda seorang dosen Emotnya sungguh mencerminkan sekali 
662,Apakah bapak botak apa delusi poto
663,vidzgarfield itu hanya fenomena anomali fatamorgana aja mbak vid 
664,Yaasitueko
665,dyngnisa ok 
666,
667,Copas dimana nak eko captionnya
668,leorizky19 maaf kak lew ini hasil jerih payah saya dan tim
669,situeko sukses selalu kak eko
670,Lagi nunggu msib maribelajarid min
671,dimediain tunggu informasi selanjutnya 
672,maribelajarid  waww tingkyuu min
673,Maribelajar buka studi independen lagi ga min Nunggu bgt nih buat SI nya Soalnya udh tgl segini blm buka track yg aku harepin  maribelajarid
674,rahmaapriliaani bner bgt
675,Cek DM kak
676,rahmaapriliaani hallo kak kami sudah buka pendaftaran  studi Independen cycle 3 Jangan lupa daftar sampai berjumpa dikelas
677,siddiqindrasyahrul done ka 
678,semoga lolos
679,nurullfd sudah ada pengumuman 
680,sitirosyadahnurlia apakah sudah ada kak
681,sndpf belum kak sepertinya saya belum lolos Soalnya yg lolos sudah dapet email
682,sitirosyadahnurlia berapa hari emangnya setelah tes pengumannya
683,sndpf aku tes tgl 23
684,Permisi  untuk yg sudah lolos apa ad grup chat atau semacam nya
685,ndinawt bantu jawab belum ada kak
686,inesuci10 terimakasih infony
687,ndinawt mau nanya kak kalo kita lolos apa kita harus buat rekening
688,ndinawt halo kak mau tanya kaka lolos di program studi independen yang mana kak kalo boleh tau
689,Info selanjutnya buat yg lolos gimana ya kakk
690,parah bngt padahal udah milih ini tapi tiba tiba dikurangin gimana pertanggungjawaban nya kita sudah menolak tmpt lain tapi knpa tbtb dikurangin setelah dinyatakan lolos
691,hyhaaan sama kita kak 
692,REPORTMARIBELAJAR
693,sndpf REPORTTTT SANGAT MENYUSAHKAN
694,Parahh bgtttt iniii
695,"Hi admin
Saya sedih dan kecewa dengan adanya pengurangan kuota ini Saya sudah menolak tawaran lain dan sudah mengisi krs
Aku harap pengumuman ini dibatalkan dan menggunakan kembali rencana awal 
Terima kasih"
696,mohon di jawab bagaimana ya ini jadinya yg udah lolos trs tbtb ga lolos itu jadi apa engga ya
697,ada yg udah lolos gak
698,sitirosyadahnurlia lolos gak kak
699,ariizky13 belum rezekinya kak
700,umamiiiiii izin tanya ka dapet email lolos nya waktu kapan ya
701,sopiaulum kak tesnya tanggal berapa
702,yunitanuf tanggal 23 Juli ka sampe sekarang belum ada info
703,sopiaulum aku kemarin tanggal 2 Agustus kak blum ada info juga
704,Pagi min saya belum menerima email masuk Telegram Mengapa ya min Saya sudah mengisi Formulir LOA
705,Ijin bertanya kan kemarin tanggal 9 sudah mengisi LoA dan survey kebhinekaan Lalu untuk pengumuman selanjutnya apakah sudah ada
706,Hallo min maribelajarid izin bertanya bagi mahasiswa yang sudah lolos apakah tidak digabungkan dalam 1 grup Karna program sudah mulai berjalan hari ini Namun tidak ada arahan yang didapat Mohon dibalas yaa
707,Halo admin maribelajarid  untuk program studi idependen cloud administrator apakah tidak ada grub telewams team nya Di akun kampus merdeka saya seharusnya ini sudah mulai kegiatan jadi buat laporan harian saya hari ini bagaimana Coba chat wa ga dibales
708,Ini maribelajar kok ga ada respon lari dari tanggung jawab apa gimana sih Kalau ga niat ikut program kampusmerdeka mending gausah join dari awal Kasian loh ini mahasiswa digantungin
709,siang admin maribelajarid ini untuk yang sudah lolos studi independen microsoft application maker apakah tidak ada grup untuk diberikan informasi
710,chandrarmdhni sama data analist ada grup nya ga ya
711,viviaryska aku juga lolos di data analyst dan AI kak tapi kok gk ada kelanjutannya ya
712,pinkilaila mungkin tunggu email aja ya dm juga belum dibales
713,Sama hari ini juga belum ada info di email padahal harus nya hari ini sudah mulai di data analytic
714,unikwln hai dear sudah cek email Baru saja kami kirimkan informasi terbaru 
715,riskiwulandariputri hai dear informasi grup sudah ada di email ya mohon di cek 
716,halcyonmira hai dear mohon cek email kami sudah kirimkan informasi terbaru 
717,chandrarmdhni hallo dear mohon segera meluncur ke email sudah kami kirimkan id untuk masuk grup 
718,afridagea hallo kak program hari ini yaitu on boarding nasional cek email untuk informasi lainnya 
719,Yang keterima siapa ya khusus nya program data analyst
720,aidaaa52 lagi nyari temen se program hehe
721,aidaaa52 akuu data analysts
722,Hari ini harusnya mulai yang data analyst dan AI tapi kok belum ada info yaa
723,aidaaa52 akuuu
724,maribelajarid  mau nanya untuk lihat jadwal belajar dan jam nya gimana ya untuk cycle batch 3
725,Halo min apakah sudah ada info terkait pelaksanaan program studi independen jalur data analysts dan AI karena hari ini saya belum mendapat kiriman email terkait pelaksanaan program
726,kak apakah tidak ada Twibbon Selebrasi MBKM CYCLE 3 SIB yah spt mitra lain
727,Untuk pengumuman cycle batch 3 program cloud administrator apakah sudah ada pengumuman Karena sampai detik ini saya tidak mendapatkan email apapun Mohon informasinya maribelajarid 
728,
729,Apakah power bi dipakai untuk penelitian kualitatif Wawancara Menyusun makna dll mengukur kepuasan tamu secara kualitatif
730,Saya udah 2x coba daftar koq ndak adacemail yg masuk yaa
731,Bisa kak samerdantasinulingga  analisis kualitatif dengan power BI dapat menggunakan text analysts dan pengukuran feedback dari tamu dapat menggunakan sentiment analysis di power BI contohnya pengukuran feedback positif atau negatif Untuk pembelajaran lebih jelasnya yuk daftar dan ikuti webinar Analisis data dengan Power Bi  Kami tunggu kehadirannya kak
732,Hi kak adhi3515 mohon maaf atas ketidak nyamanannya Apabila tidak masuk pada kotak masuk email tim kami juga mengirimkan via whatsapp Mohon untuk dapat diperiksa ya kak Terima kasih 
733,Udah masuk di WA dan sy udah bayar
734,maribelajarid bagus wa saja biar intens dan betul betul website webiste tak jelas Ada wa nya
735,Izin kami share kk
736,infopelatihangratis silakan kak 
737,WIIHHH MANTAP
738,zzllvsya alhamdulillah
739,Incess
740,aih kerennyaaa 
741,KEREN SEMANGAT INTANNNN
742,lailrdhzf MAKASIHHH LAIL AKU SELALU SEMANGAT HEHEHE
743,uchyanisaaa 
744,fathannabilaa hihihi maksih fathan
745,Wuidiii
746,ntaynnn jadi gimana Ibu Congrats atas dana bantuannya di program kampus merdeka jilid sekian baek² yaaaaa wkwkwk
747,Registrasinya sampai kapan ya kak
748,Sistem konversi SKS nya bagaimana ya kak Apakah bisa konversinya tidak full 20 sks
749,Min mau bertanya untuk batch 2 kali ini tidak dapat uang saku ya min untuk program studi independen ini Terimakasih maribelajarid
750,Minimal semester brapa min
751,fajaraugusta minimal semester 5 saat program studi independen dimulai kak  m
752,stillcoolyah sampai tanggal 14 Januari 2022 segera daftarkan dirimu ya  m
753,Min kalau daftar lebih dari 1 kegiatan di maribelajar boleh tidak ya
754,maribelajarid siaap kak
755,min buat belajarnya nanti tiap hari apa dan tiap harinya dari jam berapa sampai jam berapa
756,Pengumumannya kapan kak
757,Min ini langsung apply tanpa test dulu
758,Selamat malam kak mohon maaf mengganggu Saya mau membuka link format surat pernyataan tanggung jawab mutlak mahasiswa tetapi isinya susah dihapus dan tidak tersedia Saya harap mendapatkan link baru soalnya sudah dekat tanggal 5 Terima kasih
759,Kalau cuma punya certificate AI tapi gak ada Data certificate bisa gak min
760,Kak buat studi independen batch 4 skrg buka gak ya 
761,swunoei Hi Kak sudah dibuka kak silakan daftarkan diri melalui tautan httpsgomaribelajarorgmsib terima kasih
762,nahrulk Hi kak tidak masalah kak boleh salah satu saja terima kasih
763,maribelajarid astagfirullah  batesnya 8 Januari loh min dibalas nya 16 Januari 
764,beungeut
765,Kacaww
766,Ashiaaap santuy bi
767,
768,Mari Kita belajar 
769,Yg di belakang siapa ka
770,looting teroz
771,semangatttt bertumbuhh lovee
772,Sanggarr rek
773,niariaptr koncomu sok merendah tolong ramampu aku yusufanggi04
774,ekapuputp tumbuh keatas masih bisa gak
775,kesayangannmuuuuu setengah buat kamu
776,niariaptr opo meneh aku gak mampu poll
777,Ampun para suhu lalaln27 yusufanggi04
778,Sumpaaa ketrimo neng miscrosoft la
779,agyataaaa heem filan
780,niariaptr salam dari binjai
781,ROGER Epic Skin
782,ronaldoslbn M3lah masa Epic
783,suryasihite99 terlalu jelek M3
784,ronaldoslbn  officialmoonton
785,Keren
786,uwiii 
787,Keren kalii
788,Mantap
789,Abangg kita ni ah ciciliasinaga 
790,Keren abiss jo
791,Eakkk
792,Kalo dapat gopaynya bagi aku ya suryasihite99
793,Akhirnya ini go public ya Jo kwkw mantapss
794,seram abang ini 
795,Behhh
796,dortaviasiburian bihhh
797,usysmrg lebih seram abgmu v
798,shyntapurba iya jo wkwkwk
799,rosmelindasigalingging apasih sksd v
800,hompanjaitan idodaa le
801,sintiagintingg eakk
802,febry29 kutunggu cair ya dek v
803,jelitahtst 
804,estersimanullang29 
805,enjelinalestaris 
806,riodamanik7 
807,febry29 ga lengka2 aww
808,ciciliasinaga wajibb v
809,suryasihite99 wkwkw macam zenitsu tidur tidur keren aje
810,usysmrg inosuke gk kalah keren bisa masuk lubang tikus gaya ulok dibaen wkwkw
811,suryasihite99 haha kau kan ulok juga
812,Cuan cuan 
813,
814,Bg hite ini boz senggol dong
815,Tbl tbl ganteng bgtttt 
816,Congratulation
817,harisfadh20 Wahhh Tutor Zenius 
818,samuelparlindungan12 hahaha soon bro
819,harisfadh20 ahahaha amin kita sukses dengan cara kita sendiri 
820,Kerennn
821,Yee congrats Semangat yang penting 
822,semangat 
823,Kereeen semangat Tia 
824,Wihh semangattt
825,Selamat mbak semangat
826,Semangat mbak cantik
827,Wahh
828,
829,WEEE SEMANGAAAT
830,Selamat dan Semangattt
831,Semangatt
832,Gd luck sistaa
833,azrulifan Siaap Semangaat juga
834,lindaarrsportof Aamiin Makasih Sukses terus ya ndaichuu
835,olasssid Semangaat semangaat
836,fatmafama10 Alhamdulillah Selamat dan semangaat juga mbakchu
837,ranilasari Alhamdulillah Bahagia selalu hujanchu
838,uswahchan Siaap Sehat selaluu mbak cantikchuu
839,cerminmotivasi 
840,nggiifrima Siaap gigichu Semangat dan bahagia selaluu
841,dwiputrideviana Siaap Stay safe dear
842,rosakurniia Siaaap Semakin sukses yaa temanchu
843,niainiyah23 Alhamdulillah Semangat dan sehat selaluuu temanchuu
844,Wiii mantap ngab
845,tinmartin444 mantap gus
846,yok semangat
847,sumailkffn lah ga jadi ngitung
848,Wow data
849,Goodluck 
850,Mantap
851,bimbingankonselor masyaAllah bibi sehat selalu 
852,
853,Gass kan
854,Suhu rek
855,Wadoooo wes ndisik i lo
856,soffanakbar nggeh maszehh
857,nvanth1 termometer lak an
858,agitaberlian iya lo disik an dirimu tapi
859,rifasafir gamau duluan maunya barengan sama kamu
860,agitaberlian mulai
861,agitaberlian Ya Tuhan
862,elsaallyana kenapaaa sa Ada masalah Minat safir Gapapa ambil aja Asal dia mau
863,agitaberlian sudah2 jangan rebutan saya
864,Wenakkkkk
865,fakhrialwidodo 
866,yoiki seh
867,joos
868,ocmykris gandos
869,syahrilalfath wo nggih mas
870,bangtio123 koncomu yoo
871,verdyanctw raine ngateli
872,bangtio123 poll temonyone
873,verdyanctw mbiyen turaturu saiki kakean polah
874,bangtio123 onok opo iki rame2
875,bangtio123 biyen senengane ngrusuhi kos sak iki suangar
876,verdyanctw tenan iki idaman ciwi unesa
877,Nasbung 
878,maamaddd aman
879,cangtip amatt
880,wuhuuii mantep
881,nisavitrii ayo dilanjut demo nya
882,keren banget bocil satu inii
883,
884,kewrenn maksimal
885,KEREENNN  mana kmrn yg bilamg alma gabakal sukses eh 
886,
887,gitarania harus ditag ga si
888,raraimra ngawor wkwkw
889,Tutor gratis sabi lah ya
890,raraimra gitarania ayo tawuran aelah
891,vinkaas mylop guru tercinta 
892,annisa194 gadibales sampe detik iki lo sama pembimbink qt 
893,batarilp ngacaaa
894,aaaaaa kereeeeen bgtt sipipp
895,gokiiiil
896,iqbalridho webinar mahal se jadie
897,nabilanurhdyt aaaa panutanquee 
898,salsabilakamilaa cillll 
899,Mantab Sukses terus broo
900,catris2 AamiinTerima Kasih yaNte Sukses juga y
901,destadwihartanto OKE Bray Sugoiね
902,Alhamdulillahsukses terus mas riyansobirin 
903,rotikopipopibusawahbaru Aamiin Terima Kasih Banyak Bu Mita  Atas Bantuan waktu Skripsi saya Syukur Alhamdullilah Saya bisa Lulus Sidang Skripsi dengan Nilai Terbaik 
904,riyansobirin Masya Allah tabarokallah
905,Kelas betulll
906,
907,khaiihsan suttttt
908,uciwln 
909,Semangat
910,Mantap om bos
911,Proud of you bro
912,Semangat
913,Keren shim 
914,mhdff8 bikin lah fif
915,Madep simamang
916,adnusa nuhun mang
917, apik pisan
918,mufazahd thanks bro
919,maribelajar
920,Yeayyyy semangaatt dhee 
921,sitihusnullkhatimaah mangattttt
922,audiraichsan maringuli
923,maribelajar
924,Jadi inget im ready promotion nya Spongebob
925,yomeeo marirebahan
926,ridhopratama7 ape
927,yomeeo oiya ya baru kepikiran
928,aww fighting my nunaaa  u can do it 
929,anggrainydhea Spongebob movie kasian ga di promosikan jadi manager si sponge
930,xalyazn27 avvv makasih nanatttt
931,Wanna follow each other 
932,anggrainydhea urang Padang kakak
933,lovermangasejati bukan orang padang cuma kuliah
934,anggrainydhea bukan ya maaf saling follow yuk
935,Kerennnnn bossssthh
936,jutiiwaa Thank you 
937,Keren banget dah kawan aku
938,jennieclr22 Thank you 
939,Apa ada paket yang waktu kursusnya dipercepat
940,bratenengah hi kak waktu pelatihan 2 hari tiap batchnya 
941,Apakah lembaga ini sudah terdaftar pemerintah
942,Sertifikatnya terdaftar di BNSP ngga maribelajarid
943,Halo kak azkhairyah perusahaan kami sudah terdaftar sebagai lembaga Pelatihan Kerja Teknologi Informasi dan Komunikasi Swasta di Indonesia 
944,Si paling jago ini mahh
945,Widihhh edan bat dah
946,apaluliatakungwbro apa nich brow wkwkw
947,erlindanurii haha masih jauh dri kata jago er
948,What Language is it
949,theradlifavaia1 bahasa
950,permisi kak ijin bertanya untuk pendaftaran di Kampus Merdeka sampai tanggal berapa ya kak 
951,windaasrd hi dear sampai tanggal 27 Januari 2023
952,Halo kak untuk tahapan tes seleksinya ada apa saja ya 
953,Hari dan jam belajarnya bagaimana ya kak
954,duitreceh Hi kak utk proses seleksinya meliputi seleksi administrasi  Pretest uji pemahaman umum terkair jalur pembelajaran yg dipilih  konfirmasi melalui platform  uji wwawasan kebhinekaan  pengumuman final Terima kasih
955,ayuandinimh Hi kak  utk hari pelaksanaannya seperti layaknya kuliah dari senin sd jumat namun tidak tiap hari Sementara utk jamnya bervariasi mulai dari pkl 730 sd 2100 Terima kasih
956,Pengumuman tes selanjutnya kapan ya min Udah daftar dari 3 hari lalu emang belum dikirim semua atau gimana ya min
957,Oiya lalu untuk mengikuti data analyst ini apakah ada persyaratan khusus Seperti spesifikasi laptop jurusan atau mata kuliah yang harus ditempug
958,maribelajarid siap terima kasih kak 
959,Permisi kak untuk proses seleksi apakah diinformasikan melalui email Soalnya saya sudah daftar beberapa hari yg lalu namun di website mbkm statusnya sedang dalam proses
960,Halo kak saya sudah mendaftar di platform kampus merdeka tapi belum mendapatkan email untuk pretest Apakah kemungkinan saya tdk lulus administrasi 
961,apakah proses seleksi sudah dimulaimenunggu sampai batas akhir pendaftaran tgl 27 nnti
962,dhiyzip sama blm dapet info lanjutan
963,nabilarizky02 Hi kak sedang dilakukan seleksi secara parallel baik administrasi atau pun uji pengetahuan dasarterima kasih
964,Hi kak dhiyzip mohon ditunggu ya kak
965,atanasius hi kak mohon ditunggu yaa
966,rafaunais Hi kak mohon ditunggu informasi kami selanjutnya ya
967,rafaunais hi kak smua sama kak persyaratannya Karena nanti akan digunakan jg utk mendukung kelancaran waktu sertifikasi internasional 
968,maribelajarid Baik terimakasih infonya ka
969,sitirosyadahnurlia Hi kak benar akan kami kirimkan via email shg mohon secara memeriksa emaik abik di inbox atau spam Terima kasih
970,maribelajarid baik kak terimakasih kembali atas informasinya 
971,Halo kak maribelajarid izin bertanya kembali saya mendaftar di 2 posisi sebelumnya dan saya mendapatkan 2 email pretest  kemudian saya mengisi duaduanya akan tetapi ternyata link pretesnya masih sama Apakah tidak apaapa kak
972,Izin bertanya admin saya dpt email pretest 2x dengan posisi yg sama apakah harus dikerjakan 22nya atau hanya salah satunya
973,mac osx monterey aman ya kak ikut ini
974,ariahmadsobarudin sama saya juga dapat email 2x mohon pencerahannya min maribelajarid
975,eecaaa hi kak cukul sekali saja jika memang posisi yang dilamar hanya 1 jika lebih dari satu maka silakan dikerjakan sesuai jalur pembelajaran yg dilamar Terima kasih
976,maribelajarid baik min berarti itu dikirim dua kali bukan karena pengerjaan saya yang pertama bermasalah ya min
977,eecaaa benar kak
978,izin bertanya min saya sudah daftar tp sampai sekarang masih tidak ada email untuk test atau apa pun itu sedangkan sudah mau survei kebhinekaan
979,aleisya01 hi dear jika berkas sptjmsr mu sesuai maka pretest sudah kami kirimkan pertanggal 30 Januari kemarin mohon pastikan memeriksa folder spam atau promosi juga Terima kasih
980,maribelajarid baik terimakasih konfirmasi nya soalnya saya kurang tahu dan tidak ada email pemberitahuan apapun sdh dicek semua padahal ikut yg lain ga ada masalah dgn berkas ya sudah terimakasih 
981,maribelajarid Mohon izin bertanya kak konfirmasi melalui platform itu seperti apa ya kak
982,maribelajarid admin tolong baca dm 
983,Dapat uang saku selama program ga min maribelajarid
984,wah keren banget aku jadi pengen daftar lagi deh
985,sndpf What Language is it
986,Hallo Kak apakah boleh tahap seleksinya apa saja dan jadwal pembelajarannya 
987,Hi kak utk tahapan seleksinya meliputi seleksi administrasi  dilanjutkan dengan pretest pengetahuan dasar dan sejumlah pernyataan mengenai softskill and plan for future  pengumuman Untuk jadwalnya belum ada kak namun prinsipnya pelaksanaannya hampir sama persis dg perkuliahan ada UTS dan UAS mengingat program ini dapat mnggantikan aktivitas perkuliahan selama satu semester dan dapat dikonversi menjadi 20 sks Terima kasih
988,Hallo kak apakah bisa dilakukan sambil kuliah karna aku mash ada 1 matkul yang wajib diambil 
989,huntstd hi dear apabila masih ada matkul yang wajib di ambil diperbolehkan Dengan catatan masih ada sks untuk dikonversi 
990,bints06 Hi kak utk pendaftaran dibuka sd 27 Januari 2023 Saran kami dapat segera mendaftarkan diri agar dapat mengikuti seleksi tahap 1 lebih awal Terima kasih
991,Kak apakah ada perpanjangan pendaftaran
992,Ini nih wkwk ridzkyhanura
993,fikfnzaa apa bang wkwkwk
994,Anzay
995,ajarin MySQL dungs bosQ
996,sayananda gasss
997,andirafly792 yok daftar yok 
998,Mantap mas 
999,Aktipepollllll
1000,Gewlaaaa
1001,Itu mirip tanganku yg dibelakang
1002,elli19 Tangannya kembar identik yak 
1003,Hooh itu aku 
1004,Anzayy keren bgt brodii
1005,fnfau batir aku pengin dolannnn
1006,jofiaal  terbang bareng kuy
1007,rrayyy16 tengs semoga bisa ke Jepang barengggg gajelas 
1008,mufazahd aamiin aku ikut dong bareng
1009,mufazahd me too 
1010,Youre most welcome dik mufazahd keep the spirit ya hwaiting 
1011,ganteng banget lochhhh
1012,auliarpratiwi makasih 
1013,Aduduhhhhh
1014,congrats pakk
1015,iranandasyah makasih wulan 
1016,bismillah aamiin 
1017,hendrynm amiin 
1018,Faisulll
1019,fajekrina fajeeeeek ya ampun kangen 
1020,faisaldp wkwkwk ikut studi ta magang sul 
1021,fajekrina studi aku jek
1022,faisaldp oalah
